trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,8,-3.473272207137768,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-96.27528445660971,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,19,4.264082628928696,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,3,-63.18960108714812,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 1}",1
46,False,"{'a': 0.01, 'e': 0.631283645506926}",25,15,-6.256827900826305,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",25,0,-27.040543306648235,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",20,0,-77.727742552945,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-56.31495564654976,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",30,0,-112.98339894193353,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",20,0,-33.60946957654444,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",25,1,-18.804631431920104,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,0,-55.71410383965914,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",30,15,-33.2549752304534,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,12,14.294460816307348,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,8,-10.244070237736649,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
